case,time,emitter_population,cavity_population,trace
strong_coupling,7.86,0.0005135286548541552,0.37490110977510505,0.9999999999999996
strong_coupling,7.87,0.0002734184030294846,0.37439172123975417,0.9999999999999997
strong_coupling,7.88,0.00010848353459157531,0.3738083513840702,0.9999999999999996
strong_coupling,7.890000000000001,1.850910168221896e-05,0.37315132526314165,0.9999999999999996
strong_coupling,7.9,3.2507904961581094e-06,0.37242099673391266,0.9999999999999996
strong_coupling,7.91,6.24350920032271e-05,0.3716177482416981,0.9999999999999996
strong_coupling,7.92,0.00019575947799882183,0.370741990601577,0.9999999999999997
strong_coupling,7.930000000000001,0.0004028926015771209,0.3697941627560545,0.9999999999999997
strong_coupling,7.94,0.0006834745006499698,0.36877473152986573,0.9999999999999997
strong_coupling,7.95,0.0010371168130136358,0.3676841913736444,0.9999999999999997
strong_coupling,7.96,0.0014634030004405166,0.36652306409893437,0.9999999999999996
strong_coupling,7.97,0.0019618885879513857,0.3652918985985685,0.9999999999999997
strong_coupling,7.98,0.0025321014118699697,0.363991270558664,0.9999999999999997
strong_coupling,7.99,0.0031735418780027293,0.3626217821609434,0.9999999999999998
strong_coupling,8.0,0.0038856832266156603,0.36118406177852486,0.9999999999999996
strong_coupling,8.01,0.004667971813341742,0.3596787636565824,0.9999999999999998
strong_coupling,8.02,0.005519827399349987,0.358106567584199,0.9999999999999997
strong_coupling,8.03,0.006440643449572701,0.35646817855857327,0.9999999999999997
strong_coupling,8.040000000000001,0.007429787438914622,0.35476432644175226,0.9999999999999997
strong_coupling,8.05,0.0084866011708542,0.3529957656055945,0.9999999999999996
strong_coupling,8.06,0.009610401107259813,0.35116327456612434,0.9999999999999996
strong_coupling,8.07,0.010800478704768067,0.34926765561182804,0.9999999999999997
strong_coupling,8.08,0.012056100758932714,0.34730973442464236,0.9999999999999996
strong_coupling,8.09,0.01337650975785843,0.34529035969208494,0.9999999999999996
strong_coupling,8.1,0.014760924249933399,0.3432104027062161,0.9999999999999996
strong_coupling,8.11,0.016208539215114264,0.341070756959356,0.9999999999999996
strong_coupling,8.120000000000001,0.01771852644589366,0.3388723377307602,0.9999999999999996
strong_coupling,8.13,0.019290034936248313,0.33661608166586254,0.9999999999999996
strong_coupling,8.14,0.020922191280790786,0.33430294634636903,0.9999999999999994
strong_coupling,8.15,0.02261410008053265,0.3319339098540914,0.9999999999999996
strong_coupling,8.16,0.02436484435563025,0.32950997032852736,0.9999999999999994
strong_coupling,8.17,0.02617348596148209,0.32703214552169113,0.9999999999999994
strong_coupling,8.18,0.028039066023032636,0.32450147233568094,0.9999999999999994
strong_coupling,8.19,0.029960605369022994,0.3219190063608542,0.9999999999999996
strong_coupling,8.2,0.031937104974386045,0.31928582140654854,0.9999999999999996
strong_coupling,8.21,0.03396754640935444,0.3166030090253733,0.9999999999999994
strong_coupling,8.22,0.03605089229630529,0.3138716780313747,0.9999999999999994
strong_coupling,8.23,0.038186086772623376,0.31109295401244774,0.9999999999999994
strong_coupling,8.24,0.04037205595980184,0.30826797883726137,0.9999999999999996
strong_coupling,8.25,0.042607708436575326,0.3053979101590798,0.9999999999999994
strong_coupling,8.26,0.0448919357214231,0.30248392091081533,0.9999999999999994
strong_coupling,8.27,0.047223612759669076,0.2995271987963318,0.9999999999999993
strong_coupling,8.28,0.04960159841536145,0.2965289457777918,0.9999999999999993
strong_coupling,8.290000000000001,0.05202473596356791,0.2934903775626842,0.9999999999999993
strong_coupling,8.3,0.054491853593828146,0.29041272308129323,0.9999999999999993
strong_coupling,8.31,0.05700176491895372,0.2872972239596957,0.9999999999999994
strong_coupling,8.32,0.05955326948450312,0.2841451339923865,0.9999999999999994
strong_coupling,8.33,0.062145153288926454,0.28095771860531904,0.9999999999999994
strong_coupling,8.34,0.06477618930505996,0.27773625431836,0.9999999999999994
strong_coupling,8.35,0.06744513799999768,0.27448202821008677,0.9999999999999993
strong_coupling,8.36,0.07015074786617312,0.2711963373723466,0.9999999999999994
strong_coupling,8.370000000000001,0.07289175594670094,0.26788048837119466,0.9999999999999993
strong_coupling,8.38,0.07566688836092347,0.2645357967084031,0.9999999999999993
strong_coupling,8.39,0.07847486085523735,0.2611635862590343,0.9999999999999993
strong_coupling,8.4,0.08131437933636967,0.25776518872696863,0.9999999999999993
strong_coupling,8.41,0.08418414041697374,0.2543419430887793,0.9999999999999996
strong_coupling,8.42,0.08708283197327749,0.25089519502578006,0.9999999999999994
strong_coupling,8.43,0.09000913367733487,0.24742629638408614,0.9999999999999993
strong_coupling,8.44,0.09296171755230126,0.2439366046111416,0.9999999999999994
strong_coupling,8.45,0.09593924852315676,0.24042748219814183,0.9999999999999994
strong_coupling,8.46,0.09894038495644679,0.2369002961355284,0.9999999999999994
strong_coupling,8.47,0.10196377922706558,0.23335641733976287,0.9999999999999994
strong_coupling,8.48,0.10500807826993017,0.22979722009769465,0.9999999999999996
strong_coupling,8.49,0.10807192413357311,0.22622408150951334,0.9999999999999994
strong_coupling,8.5,0.11115395453466724,0.22263838092860647,0.9999999999999994
strong_coupling,8.51,0.11425280341357645,0.21904149940624942,0.9999999999999994
strong_coupling,8.52,0.1173671014893652,0.21543481913532433,0.9999999999999996
strong_coupling,8.53,0.12049547681514497,0.2118197228941173,0.9999999999999994
strong_coupling,8.540000000000001,0.12363655535584726,0.20819759347172898,0.9999999999999994
strong_coupling,8.55,0.12678896153485814,0.20456981312161368,0.9999999999999994
strong_coupling,8.56,0.12995131878593716,0.20093776301139002,0.9999999999999994
strong_coupling,8.57,0.13312225011603884,0.1973028226640496,0.9999999999999996
strong_coupling,8.58,0.13630037862174832,0.1936663694431171,0.9999999999999996
strong_coupling,8.59,0.1394843280415754,0.190029778005295,0.9999999999999996
strong_coupling,8.6,0.14267272332845296,0.1863944197352197,0.9999999999999996
strong_coupling,8.61,0.14586419117679827,0.18276166222361553,0.9999999999999996
strong_coupling,8.620000000000001,0.14905736059829597,0.17913286869946685,0.9999999999999997
strong_coupling,8.63,0.1522508634900202,0.17550939747050462,0.9999999999999996
strong_coupling,8.64,0.15544333512332964,0.17189260144161497,0.9999999999999997
strong_coupling,8.65,0.1586334147099264,0.16828382755906549,0.9999999999999996
strong_coupling,8.66,0.16181974592299952,0.16468441629939265,0.9999999999999996
strong_coupling,8.67,0.16500097739212677,0.16109570118480815,0.9999999999999996
strong_coupling,8.68,0.16817576328432618,0.15751900821525108,0.9999999999999996
strong_coupling,8.69,0.1713427638075601,0.15395565537712158,0.9999999999999996
strong_coupling,8.700000000000001,0.17450064573454266,0.15040695213281863,0.9999999999999996
strong_coupling,8.71,0.17764808294815343,0.14687419888931685,0.9999999999999994
strong_coupling,8.72,0.1807837569221298,0.14335868653254163,0.9999999999999996
strong_coupling,8.73,0.18390635723919646,0.13986169592482461,0.9999999999999996
strong_coupling,8.74,0.18701458209722,0.13638449741513964,0.9999999999999996
strong_coupling,8.75,0.1901071387985296,0.13292835036716846,0.9999999999999996
strong_coupling,8.76,0.19318274425434076,0.12949450267251836,0.9999999999999997
strong_coupling,8.77,0.19624012547297828,0.12608419028113438,0.9999999999999997
strong_coupling,8.78,0.19927802004267428,0.12269863673776234,0.9999999999999996
strong_coupling,8.790000000000001,0.20229517661452973,0.11933905271711794,0.9999999999999997
strong_coupling,8.8,0.20529035537253998,0.11600663557543564,0.9999999999999996
strong_coupling,8.81,0.20826232850014256,0.11270256890517838,0.9999999999999996
strong_coupling,8.82,0.2112098806422487,0.10942802209435376,0.9999999999999996
strong_coupling,8.83,0.21413180936856158,0.106184149887799,0.9999999999999996
strong_coupling,8.84,0.21702692562103634,0.10297209196227647,0.9999999999999996
strong_coupling,8.85,0.21989405415412447,0.0997929725092069,0.9999999999999996
strong_coupling,8.86,0.22273203397461658,0.09664789982018629,0.9999999999999998
strong_coupling,8.870000000000001,0.22553971875590204,0.09353796589567097,0.9999999999999998
strong_coupling,8.88,0.2283159772547524,0.0904642460532005,0.9999999999999997
strong_coupling,8.89,0.23105969373983687,0.08742779852733075,0.9999999999999997
strong_coupling,8.9,0.23376976838763275,0.08442966409907858,0.9999999999999997
strong_coupling,8.91,0.23644511770265356,0.08147086570368182,0.9999999999999997
strong_coupling,8.92,0.23908467494076752,0.07855240803623036,0.9999999999999998
strong_coupling,8.93,0.24168739044848567,0.07567527723870941,0.9999999999999997
strong_coupling,8.94,0.2442522320646451,0.07284044052802913,0.9999999999999998
strong_coupling,8.950000000000001,0.24677818547904917,0.07004884586657065,0.9999999999999997
strong_coupling,8.96,0.2492642545461481,0.0673014216775342,0.9999999999999997
strong_coupling,8.97,0.2517094616957641,0.06459907646562663,0.9999999999999996
strong_coupling,8.98,0.254112848254949,0.06194269852566964,0.9999999999999998
strong_coupling,8.99,0.25647347478545224,0.05933315563628153,0.9999999999999997
strong_coupling,9.0,0.2587904214609284,0.056771294714031195,0.9999999999999997
strong_coupling,9.01,0.26106278833558116,0.054257941577139125,0.9999999999999997
strong_coupling,9.02,0.26328969566660954,0.051793900655433364,0.9999999999999997
strong_coupling,9.03,0.2654702842209887,0.049379954716411344,0.9999999999999998
strong_coupling,9.040000000000001,0.2676037155452271,0.04701686462893878,0.9999999999999998
strong_coupling,9.05,0.2696891722677078,0.04470536909437804,0.9999999999999997
strong_coupling,9.06,0.2717258583724638,0.042446184406807363,0.9999999999999998
strong_coupling,9.07,0.27371299945988425,0.040240004226678644,0.9999999999999998
strong_coupling,9.08,0.27564984301460876,0.03808749934719899,0.9999999999999999
strong_coupling,9.09,0.2775356586452894,0.03598931748969091,0.9999999999999998
strong_coupling,9.1,0.2793697383179789,0.03394608310552775,0.9999999999999997
strong_coupling,9.11,0.2811513965866411,0.03195839718103193,0.9999999999999997
strong_coupling,9.120000000000001,0.28287997081096344,0.030026837055611832,0.9999999999999998
strong_coupling,9.13,0.28455482136452054,0.02815195624962554,0.9999999999999998
strong_coupling,9.14,0.2861753318331476,0.02633428430217117,0.9999999999999998
strong_coupling,9.15,0.28774090920319,0.024574326619431933,0.9999999999999997
strong_coupling,9.16,0.289250984041221,0.022872564331233664,0.9999999999999997
strong_coupling,9.17,0.290705010663461,0.021229454158151098,0.9999999999999998
strong_coupling,9.18,0.29210246729206074,0.019645428292861186,0.9999999999999997
strong_coupling,9.19,0.29344285620419436,0.01812089428786003,0.9999999999999997
strong_coupling,9.200000000000001,0.29472570387433467,0.01665623495081602,0.9999999999999997
strong_coupling,9.21,0.29595056111122786,0.0152518082458246,0.9999999999999998
strong_coupling,9.22,0.2971170031662776,0.01390794722157258,0.9999999999999998
strong_coupling,9.23,0.29822462984705456,0.012624959935975243,0.9999999999999998
strong_coupling,9.24,0.2992730656147186,0.011403129396364226,0.9999999999999999
strong_coupling,9.25,0.3002619596629459,0.010242713517265214,0.9999999999999999
strong_coupling,9.26,0.30119098600586025,0.009143945071543492,0.9999999999999998
strong_coupling,9.27,0.3020598435419946,0.008107031663937518,0.9999999999999998
strong_coupling,9.28,0.3028682561123001,0.007132155710893502,0.9999999999999999
strong_coupling,9.290000000000001,0.30361597256782974,0.006219474411581763,1.0
strong_coupling,9.3,0.3043027667899823,0.005369119764825006,0.9999999999999999
strong_coupling,9.31,0.30492843772118905,0.004581198576396686,0.9999999999999999
strong_coupling,9.32,0.30549280938548107,0.003855792476401773,1.0
strong_coupling,9.33,0.30599573088647947,0.0031929579586927955,0.9999999999999999
strong_coupling,9.34,0.3064370764112216,0.0025927264150057386,0.9999999999999999
strong_coupling,9.35,0.30681674521818914,0.0020551041845905784,0.9999999999999999
strong_coupling,9.36,0.30713466161187725,0.0015800726170710725,0.9999999999999999
strong_coupling,9.370000000000001,0.307390774919552,0.0011675881332205572,1.0
